* Required Fields,* Required Fields
Add,Add
Add to Cart,Add to Cart
Availability,Availability
Change,Change
Check Box,Check Box
Choose an Option...,Choose an Option...
Compatible file extensions to upload,Compatible file extensions to upload
Customize %1,Customize %1
Delete,Delete
Disabled,Disabled
Enabled,Enabled
Grouped Product Configuration,Grouped Product Configuration
Grouped product items,Grouped product items
In stock,In stock
Input Box,Input Box
Make a selection...,Make a selection...
Make sub-products clickable,Make sub-products clickable
Maximum image height,Maximum image height
Maximum image width,Maximum image width
No,No
No options of this product are available.,No options of this product are available.
None,None
Out of stock,Out of stock
Out of stock,Out of stock
Product Name,Product Name
Qty,Qty
Quantity,Quantity
Save settings,Save settings
Show Images for sub-products,Show Images for sub-products
Show QTY for Associated Products as,Show QTY for Associated Products as
Show QTY for Associated Products as,Show QTY for Associated Products as
"There is no defined renderer for ""%1"" option type.","There is no defined renderer for ""%1"" option type."
We can't add this item to your shopping cart right now.,We can't add this item to your shopping cart right now.
Yes,Yes
You added %1 to your shopping cart.,You added %1 to your shopping cart.
